AÑO,alquiler_medio,n
2011,411.1666666666667,6
2012,409.1666666666667,6
2013,395.6666666666667,6
2014,394.5,6
2015,397.8333333333333,6
2016,417.8333333333333,6
2017,427.8333333333333,6
2018,454,6
2019,510,6
2020,520.1666666666666,6
2021,554,6
2022,589.6666666666666,6
2023,631.3333333333334,6
